,institutions_sell_code,institutions_sell,institutions_sell_eng,volume_sell,institutions_buy_code,institutions_buy,institutions_buy_eng,volume_buy,JPX_code,instrument,date
2,11792,シティグループ証券,Citigroup Japan,603.0,11792,シティグループ証券,Citigroup Japan,603,165120005,FUT_TOPIX_2012,2020-09-24
3,11520,三菱ＵＦＪモルガン,Mitsubishi UFJ Mor,61.0,11520,三菱ＵＦＪモルガン,Mitsubishi UFJ Mor,61,165120005,FUT_TOPIX_2012,2020-09-24
4,12400,野村證券,Nomura Securities,7.0,12400,野村證券,Nomura Securities,7,165120005,FUT_TOPIX_2012,2020-09-24
5,11256,ＳＢＩ証券,SBI SECURITIES,6.0,11256,ＳＢＩ証券,SBI SECURITIES,6,165120005,FUT_TOPIX_2012,2020-09-24
8,11256,ＳＢＩ証券,SBI SECURITIES,877.0,11256,ＳＢＩ証券,SBI SECURITIES,877,165120018,FUT_NK225_2012,2020-09-24
9,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,134.0,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,217,165120018,FUT_NK225_2012,2020-09-24
10,12410,バークレイズ証券,Barclays Japan,74.0,11560,ゴールドマンサックス,Goldman Sachs Japan,86,165120018,FUT_NK225_2012,2020-09-24
11,11696,みずほ証券,Mizuho Securities,71.0,11696,みずほ証券,Mizuho Securities,71,165120018,FUT_NK225_2012,2020-09-24
12,11714,ＪＰモルガン証券,JPMorgan Japan,63.0,12000,大和証券,Daiwa Securities,43,165120018,FUT_NK225_2012,2020-09-24
13,12792,メリルリンチ日本証券,Merrill Lynch Japan,45.0,11714,ＪＰモルガン証券,JPMorgan Japan,5,165120018,FUT_NK225_2012,2020-09-24
14,11788,ソシエテ・ジェネラル,Societe Generale,35.0,11792,シティグループ証券,Citigroup Japan,4,165120018,FUT_NK225_2012,2020-09-24
15,11792,シティグループ証券,Citigroup Japan,4.0,-,-,-,-,165120018,FUT_NK225_2012,2020-09-24
18,11256,ＳＢＩ証券,SBI SECURITIES,2150.0,11256,ＳＢＩ証券,SBI SECURITIES,2150,165100019,FUT_NK225M_2010,2020-09-24
21,11256,ＳＢＩ証券,SBI SECURITIES,68.0,11256,ＳＢＩ証券,SBI SECURITIES,68,165110019,FUT_NK225M_2011,2020-09-24
24,11256,ＳＢＩ証券,SBI SECURITIES,15231.0,11256,ＳＢＩ証券,SBI SECURITIES,15231,165120019,FUT_NK225M_2012,2020-09-24
