,institutions_sell_code,institutions_sell,institutions_sell_eng,volume_sell,institutions_buy_code,institutions_buy,institutions_buy_eng,volume_buy,JPX_code,instrument,date
2,12724,ＨＳＢＣ証券,HSBC (Japan),2000,11746.0,ＵＢＳ証券,UBS Securities Japan,1300.0,165120005,FUT_TOPIX_2012,2020-09-24
3,12428,ＢＮＰパリバ証券,BNP Paribas (Japan),1874,11792.0,シティグループ証券,Citigroup Japan,1254.0,165120005,FUT_TOPIX_2012,2020-09-24
4,12328,ＳＭＢＣ日興証券,SMBC Nikko Sec,1829,12072.0,東海東京証券,Tokai Tokyo Sec,1002.0,165120005,FUT_TOPIX_2012,2020-09-24
5,12800,モルガンスタンレー,Morgan Stanley MUFG,1232,11560.0,ゴールドマンサックス,Goldman Sachs Japan,988.0,165120005,FUT_TOPIX_2012,2020-09-24
6,12792,メリルリンチ日本証券,Merrill Lynch Japan,544,12479.0,ＡＢＮアムロクリア,ABN AMRO Clearing,972.0,165120005,FUT_TOPIX_2012,2020-09-24
7,11520,三菱ＵＦＪモルガン,Mitsubishi UFJ Mor,330,11788.0,ソシエテ・ジェネラル,Societe Generale,900.0,165120005,FUT_TOPIX_2012,2020-09-24
8,11560,ゴールドマンサックス,Goldman Sachs Japan,208,12792.0,メリルリンチ日本証券,Merrill Lynch Japan,656.0,165120005,FUT_TOPIX_2012,2020-09-24
9,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,170,11696.0,みずほ証券,Mizuho Securities,352.0,165120005,FUT_TOPIX_2012,2020-09-24
10,12400,野村證券,Nomura Securities,110,11520.0,三菱ＵＦＪモルガン,Mitsubishi UFJ Mor,328.0,165120005,FUT_TOPIX_2012,2020-09-24
11,11788,ソシエテ・ジェネラル,Societe Generale,105,11714.0,ＪＰモルガン証券,JPMorgan Japan,200.0,165120005,FUT_TOPIX_2012,2020-09-24
12,11792,シティグループ証券,Citigroup Japan,45,12328.0,ＳＭＢＣ日興証券,SMBC Nikko Sec,195.0,165120005,FUT_TOPIX_2012,2020-09-24
13,11256,ＳＢＩ証券,SBI SECURITIES,38,12400.0,野村證券,Nomura Securities,180.0,165120005,FUT_TOPIX_2012,2020-09-24
14,11635,クレディ・スイス証券,Credit Suisse Japan,3,12800.0,モルガンスタンレー,Morgan Stanley MUFG,97.0,165120005,FUT_TOPIX_2012,2020-09-24
15,12072,東海東京証券,Tokai Tokyo Sec,2,11256.0,ＳＢＩ証券,SBI SECURITIES,38.0,165120005,FUT_TOPIX_2012,2020-09-24
16,-,-,-,-,11635.0,クレディ・スイス証券,Credit Suisse Japan,28.0,165120005,FUT_TOPIX_2012,2020-09-24
