,institutions_sell_code,institutions_sell,institutions_sell_eng,volume_sell,institutions_buy_code,institutions_buy,institutions_buy_eng,volume_buy,JPX_code,instrument,date
2,11788,ソシエテ・ジェネラル,Societe Generale,43344,12400,野村證券,Nomura Securities,56530,165090005,FUT_TOPIX_2009,2020-09-08
3,11560,ゴールドマンサックス,Goldman Sachs Japan,22972,11696,みずほ証券,Mizuho Securities,35703,165090005,FUT_TOPIX_2009,2020-09-08
4,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,22949,12328,ＳＭＢＣ日興証券,SMBC Nikko Sec,16703,165090005,FUT_TOPIX_2009,2020-09-08
5,12410,バークレイズ証券,Barclays Japan,19397,11788,ソシエテ・ジェネラル,Societe Generale,16608,165090005,FUT_TOPIX_2009,2020-09-08
6,11696,みずほ証券,Mizuho Securities,15446,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,14808,165090005,FUT_TOPIX_2009,2020-09-08
7,12800,モルガンスタンレー,Morgan Stanley MUFG,11602,11714,ＪＰモルガン証券,JPMorgan Japan,11281,165090005,FUT_TOPIX_2009,2020-09-08
8,12792,メリルリンチ日本証券,Merrill Lynch Japan,9352,12800,モルガンスタンレー,Morgan Stanley MUFG,10417,165090005,FUT_TOPIX_2009,2020-09-08
9,11792,シティグループ証券,Citigroup Japan,8821,12000,大和証券,Daiwa Securities,7766,165090005,FUT_TOPIX_2009,2020-09-08
10,11635,クレディ・スイス証券,Credit Suisse Japan,8504,11520,三菱ＵＦＪモルガン,Mitsubishi UFJ Mor,6189,165090005,FUT_TOPIX_2009,2020-09-08
11,12428,ＢＮＰパリバ証券,BNP Paribas (Japan),6093,12410,バークレイズ証券,Barclays Japan,3872,165090005,FUT_TOPIX_2009,2020-09-08
12,12000,大和証券,Daiwa Securities,6054,11635,クレディ・スイス証券,Credit Suisse Japan,3260,165090005,FUT_TOPIX_2009,2020-09-08
13,12400,野村證券,Nomura Securities,4924,11560,ゴールドマンサックス,Goldman Sachs Japan,3136,165090005,FUT_TOPIX_2009,2020-09-08
14,11746,ＵＢＳ証券,UBS Securities Japan,3713,12792,メリルリンチ日本証券,Merrill Lynch Japan,2721,165090005,FUT_TOPIX_2009,2020-09-08
15,12328,ＳＭＢＣ日興証券,SMBC Nikko Sec,3154,12176,ドイツ証券,Deutsche Securities,1705,165090005,FUT_TOPIX_2009,2020-09-08
16,11714,ＪＰモルガン証券,JPMorgan Japan,2587,11792,シティグループ証券,Citigroup Japan,973,165090005,FUT_TOPIX_2009,2020-09-08
17,11520,三菱ＵＦＪモルガン,Mitsubishi UFJ Mor,2167,12336,日産証券,Nissan Securities,648,165090005,FUT_TOPIX_2009,2020-09-08
18,12724,ＨＳＢＣ証券,HSBC (Japan),1326,12428,ＢＮＰパリバ証券,BNP Paribas (Japan),603,165090005,FUT_TOPIX_2009,2020-09-08
19,12336,日産証券,Nissan Securities,1238,11746,ＵＢＳ証券,UBS Securities Japan,587,165090005,FUT_TOPIX_2009,2020-09-08
20,12464,廣田証券,HIROTA SECURITIES,312,12464,廣田証券,HIROTA SECURITIES,308,165090005,FUT_TOPIX_2009,2020-09-08
21,12176,ドイツ証券,Deutsche Securities,141,12896,豊証券,Yutaka Securities,130,165090005,FUT_TOPIX_2009,2020-09-08
24,12400,野村證券,Nomura Securities,55891,11788,ソシエテ・ジェネラル,Societe Generale,36257,165120005,FUT_TOPIX_2012,2020-09-08
25,11696,みずほ証券,Mizuho Securities,35793,11560,ゴールドマンサックス,Goldman Sachs Japan,22792,165120005,FUT_TOPIX_2012,2020-09-08
26,12328,ＳＭＢＣ日興証券,SMBC Nikko Sec,16629,12410,バークレイズ証券,Barclays Japan,18635,165120005,FUT_TOPIX_2012,2020-09-08
